"","CBX","data1_selection","data1_intersection","data1_infeasible","data2_selection","data2_intersection","data2_infeasible","data1_secretor_selection","data1_secretor_intersection","data1_secretor_infeasible","data2_secretor_selection","data2_secretor_intersection","data2_secretor_infeasible","background"
"606","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0",NA,NA,4288,12,NA,4288,219,NA,4288,106,NA,4288,27328
"607","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1",30,NA,NA,8,NA,NA,56,NA,NA,NA,NA,NA,21408
"608","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0",325,NA,4608,36,NA,4608,150,NA,4608,38,NA,4608,8864
"609","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,9,NA,NA,50,NA,NA,NA,NA,NA,19232
"610","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_0_1",30,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,21408
"611","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1_0",179,NA,4608,NA,NA,4608,161,NA,4608,18,NA,4608,8864
"612","0_0_1_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,52,NA,NA,NA,NA,NA,19232
"613","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,25872
"614","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0",685,NA,NA,495,NA,NA,844,NA,NA,NA,NA,NA,27152
"615","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"616","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24720
"617","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0",677,NA,NA,495,NA,NA,814,NA,NA,NA,NA,NA,27152
"618","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"619","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22032
"620","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0",327,NA,NA,495,NA,NA,717,NA,NA,NA,NA,NA,27152
"621","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"622","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"623","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0",323,NA,NA,495,NA,NA,688,NA,NA,NA,NA,NA,27152
"624","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"625","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,348,NA,NA,NA,NA,NA,123,NA,NA,25872
"626","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0",702,NA,NA,670,NA,NA,738,NA,NA,260,NA,NA,17168
"627","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,1648,329,NA,1648,41,NA,1648,79,NA,1648,10528
"628","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,12864
"629","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0",106,NA,1776,198,NA,1776,82,NA,1776,29,NA,1776,3344
"630","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"631","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,12864
"632","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_0_1_0",49,NA,1776,187,NA,1776,81,NA,1776,18,NA,1776,3344
"633","0_0_1_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"634","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,25872
"635","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0",685,NA,NA,495,NA,NA,844,NA,NA,NA,NA,NA,27152
"636","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"637","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24720
"638","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0",677,NA,NA,495,NA,NA,814,NA,NA,NA,NA,NA,27152
"639","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"640","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22032
"641","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0",327,NA,NA,495,NA,NA,717,NA,NA,NA,NA,NA,27152
"642","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"643","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"644","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0",323,NA,NA,495,NA,NA,688,NA,NA,NA,NA,NA,27152
"645","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"646","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,348,NA,NA,NA,NA,NA,123,NA,NA,25872
"647","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0",702,NA,NA,670,NA,NA,738,NA,NA,260,NA,NA,17168
"648","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,1648,329,NA,1648,41,NA,1648,79,NA,1648,10528
"649","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,12864
"650","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0",106,NA,1776,198,NA,1776,82,NA,1776,29,NA,1776,3344
"651","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"652","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,12864
"653","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_0_1_0",49,NA,1776,187,NA,1776,81,NA,1776,18,NA,1776,3344
"654","0_0_1_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"655","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,25872
"656","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0",685,NA,NA,495,NA,NA,844,NA,NA,NA,NA,NA,27152
"657","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"658","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1",42,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24720
"659","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0",677,NA,NA,495,NA,NA,814,NA,NA,NA,NA,NA,27152
"660","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_1_0_0",12,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,24592
"661","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22032
"662","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0",327,NA,NA,495,NA,NA,717,NA,NA,NA,NA,NA,27152
"663","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"664","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,2928,NA,NA,2928,NA,NA,2928,NA,NA,2928,17952
"665","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0",323,NA,NA,495,NA,NA,688,NA,NA,NA,NA,NA,27152
"666","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24592
"667","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,348,NA,NA,NA,NA,NA,123,NA,NA,25872
"668","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0",702,NA,NA,670,NA,NA,738,NA,NA,260,NA,NA,17168
"669","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,1648,329,NA,1648,41,NA,1648,79,NA,1648,10528
"670","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,12864
"671","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0",106,NA,1776,198,NA,1776,82,NA,1776,29,NA,1776,3344
"672","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"673","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,12864
"674","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0",49,NA,1776,187,NA,1776,81,NA,1776,18,NA,1776,3344
"675","0_0_1_0_0_1_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,232,NA,NA,NA,NA,NA,56,NA,NA,7424
"676","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",56,NA,NA,2581,NA,NA,562,NA,NA,2939,NA,NA,43456
"677","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",1597,196,NA,6888,196,NA,2923,521,NA,5757,521,NA,41536
"678","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",25,2,NA,4619,2,NA,519,95,NA,4790,95,NA,35776
"679","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",56,NA,NA,2508,NA,NA,562,NA,NA,2913,NA,NA,41536
"680","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",1569,196,NA,6856,196,NA,2805,501,NA,5715,501,NA,41536
"681","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",25,2,NA,4609,2,NA,509,88,NA,4756,88,NA,35776
"682","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,2451,NA,NA,90,NA,NA,2677,NA,NA,37056
"683","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",926,170,NA,7226,170,NA,2310,464,NA,6021,464,NA,41536
"684","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,4753,NA,NA,266,75,NA,5046,75,NA,35776
"685","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,4928,2229,NA,4928,90,NA,4928,2502,NA,4928,30208
"686","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",900,170,NA,7204,170,NA,2204,449,NA,5982,449,NA,41536
"687","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,4755,NA,NA,262,71,NA,5022,71,NA,35776
"688","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",122,86,NA,4036,86,NA,380,145,NA,3627,145,NA,33216
"689","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",1209,512,NA,3664,512,NA,1355,584,NA,3308,584,NA,21024
"690","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",30,22,2240,1002,22,2240,148,18,2240,1197,18,2240,11744
"691","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",159,71,NA,4264,71,NA,412,137,NA,3318,137,NA,18432
"692","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",400,249,2528,1551,249,2528,305,150,2528,1268,150,2528,4288
"693","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",67,31,NA,2567,31,NA,241,63,NA,2254,63,NA,9840
"694","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",136,65,NA,3791,65,NA,345,110,NA,2874,110,NA,19232
"695","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",254,158,2528,1211,158,2528,275,124,2528,1001,124,2528,4800
"696","0_0_1_0_0_1_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",63,30,NA,2328,30,NA,219,56,NA,2071,56,NA,10256
"697","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1",18,NA,15344,NA,NA,15344,108,NA,15344,NA,NA,15344,23632
"698","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0",618,NA,13744,24,NA,13744,519,NA,13744,NA,NA,13744,23312
"699","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0",2,NA,11184,NA,NA,11184,35,NA,11184,36,NA,11184,20112
"700","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1",18,NA,14672,NA,NA,14672,108,NA,14672,NA,NA,14672,22576
"701","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0",614,NA,13744,24,NA,13744,507,NA,13744,NA,NA,13744,23312
"702","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0",2,NA,11184,NA,NA,11184,35,NA,11184,36,NA,11184,20112
"703","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1",NA,NA,13104,NA,NA,13104,24,NA,13104,NA,NA,13104,20112
"704","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0",300,NA,13744,24,NA,13744,356,NA,13744,NA,NA,13744,23312
"705","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0",NA,NA,11184,NA,NA,11184,3,NA,11184,41,NA,11184,20112
"706","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1",NA,NA,15104,NA,NA,15104,24,NA,15104,NA,NA,15104,16384
"707","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0",295,NA,13744,24,NA,13744,345,NA,13744,NA,NA,13744,23312
"708","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0",NA,NA,11184,NA,NA,11184,3,NA,11184,41,NA,11184,20112
"709","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1",NA,NA,12464,NA,NA,12464,6,NA,12464,20,NA,12464,21712
"710","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0",371,NA,7600,6,NA,7600,231,NA,7600,139,NA,7600,13904
"711","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0",NA,NA,6368,NA,NA,6368,22,NA,6368,41,NA,6368,8288
"712","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1",NA,NA,6208,NA,NA,6208,10,NA,6208,NA,NA,6208,9984
"713","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0",62,NA,3712,1,NA,3712,19,NA,3712,11,NA,3712,2144
"714","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0",3,NA,3072,NA,NA,3072,4,NA,3072,3,NA,3072,5392
"715","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_0_1",NA,NA,6208,NA,NA,6208,NA,NA,6208,NA,NA,6208,10784
"716","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0",45,NA,3712,NA,NA,3712,25,NA,3712,10,NA,3712,2656
"717","0_0_1_0_0_1_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0",3,NA,3072,NA,NA,3072,3,NA,3072,4,NA,3072,5808
"718","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1",NA,NA,NA,124,NA,NA,80,NA,NA,26,NA,NA,21812
"719","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0",238,NA,NA,2005,NA,NA,399,45,NA,2341,45,NA,24372
"720","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,2041,NA,NA,72,28,NA,2379,28,NA,23092
"721","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1",NA,NA,NA,120,NA,NA,80,NA,NA,29,NA,NA,20852
"722","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0",238,NA,NA,1997,NA,NA,393,43,NA,2333,43,NA,24372
"723","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,2033,NA,NA,72,28,NA,2371,28,NA,23092
"724","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,116,NA,NA,NA,NA,NA,30,NA,NA,18612
"725","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0",NA,NA,NA,2120,NA,NA,290,22,NA,2367,22,NA,24372
"726","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,2068,NA,NA,12,12,NA,2420,12,NA,23092
"727","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1",NA,NA,2476,127,NA,2476,NA,NA,2476,37,NA,2476,15176
"728","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0",NA,NA,NA,2115,NA,NA,285,21,NA,2359,21,NA,24372
"729","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,2060,NA,NA,12,12,NA,2412,12,NA,23092
"730","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,1492,NA,NA,104,104,NA,1494,104,NA,21652
"731","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_0_1_0",444,382,NA,1542,382,NA,531,396,NA,1577,396,NA,14932
"732","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_0_1_0_0_0_0_1_0_0",NA,NA,1644,522,NA,1644,32,24,1644,808,24,1644,9032
"733","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_0_1",NA,NA,NA,1240,NA,NA,104,104,NA,1301,104,NA,11824
"734","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_0_1_0",174,122,1708,624,122,1708,125,89,1708,615,89,1708,3268
"735","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_0_1_0_0_0_0_0_1_0_0",NA,NA,NA,1007,NA,NA,69,69,NA,1221,69,NA,7280
"736","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_0_1",NA,NA,NA,1221,NA,NA,112,112,NA,1301,112,NA,11824
"737","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_0_1_0",126,122,1708,496,122,1708,127,91,1708,535,91,1708,3268
"738","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_0_1_1_0_0_0_0_0_0_1_0_0",NA,NA,NA,967,NA,NA,70,70,NA,1199,70,NA,7280
"739","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_0_1",5,NA,NA,57,NA,NA,NA,NA,NA,NA,NA,NA,5376
"740","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_0_1_0",121,NA,NA,64,NA,NA,6,NA,NA,NA,NA,NA,9264
"741","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_0_1_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"742","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_0_1",5,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,5120
"743","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_0_1_0",121,NA,NA,64,NA,NA,6,NA,NA,NA,NA,NA,9264
"744","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_0_1_0_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"745","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_0_1",NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,4464
"746","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_0_1_0",8,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,9264
"747","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_0_1_0_0_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"748","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_0_1",NA,NA,688,25,NA,688,NA,NA,688,NA,NA,688,3520
"749","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_0_1_0",8,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,9264
"750","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_0_1_0_0_0_1_0_0",NA,NA,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,9264
"751","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_0_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10224
"752","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_0_1_0",185,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,11824
"753","0_0_1_0_1_0_0_0_0_0_0_0_0_0_0_1_0_0_0_1_0_0_0_0_1_0_0",NA,NA,1232,NA,NA,1232,NA,NA,1232,NA,NA,1232,7552
